iter	Passed	Remaining
897	16545	1879
898	16715	1877
899	16775	1863
900	16822	1848
901	16892	1835
902	16935	1819
903	16967	1801
904	17003	1784
905	17025	1766
906	17046	1747
907	17083	1730
908	17109	1712
909	17163	1697
910	17190	1679
911	17217	1661
912	17254	1644
913	17298	1627
914	17421	1618
915	17449	1600
916	17488	1582
917	17523	1565
918	17557	1547
919	17576	1528
920	17597	1509
921	17615	1490
922	17632	1470
923	17648	1451
924	17665	1432
925	17681	1413
926	17698	1393
927	17714	1374
928	17731	1355
929	17758	1336
930	17794	1318
931	17828	1300
932	17859	1282
933	17877	1263
934	17893	1243
935	17912	1224
936	17929	1205
937	17946	1186
938	17963	1166
939	17980	1147
940	17998	1128
941	18015	1109
942	18031	1089
943	18049	1070
944	18068	1051
945	18083	1032
946	18099	1012
947	18157	996
948	18182	977
949	18200	957
950	18217	938
951	18235	919
952	18253	900
953	18269	880
954	18293	862
955	18325	843
956	18343	824
957	18363	805
958	18381	785
959	18397	766
960	18413	747
961	18431	728
962	18448	708
963	18465	689
964	18482	670
965	18500	651
966	18553	633
967	18584	614
968	18616	595
969	18651	576
970	18671	557
971	18688	538
972	18705	519
973	18724	499
974	18746	480
975	18764	461
976	18784	442
977	18801	422
978	18820	403
979	18839	384
980	18856	365
981	18874	345
982	18889	326
983	18905	307
984	18922	288
985	18938	268
986	18954	249
987	18971	230
988	18986	211
989	19002	191
990	19019	172
991	19033	153
992	19049	134
993	19065	115
994	19080	95
995	19094	76
996	19125	57
997	19144	38
998	19160	19
999	19174	0
